ID,Program of Study,Gender,Nationality,Place of Birth,My current semester is:,Father's Education,Mother's Education,Parental Income,Any close family member with the same profession available for guidance,Availing any scholarship,I opted for this program of study because of my own interest.,Basic Education Stream,Intermediate Stream,Matric Percentage ,Intermediate Percentage ,SGPA in BS First semester ,SGPA in BS Second semester ,PredictedSGPA of BS Third semester ,Predicted Grade (based on SGPA) of 3rd semester,PredictedCGPA of BS third sem.,Predicted Grade (based on CGPA) of 3rd semester,I understand the lecture more clearly if delivered in:,I understand the lecture more clearly if delivered on:,I understand the lecture more clearly if my sitting place is in:,I understand the lecture more clearly if the duration is:,I understand the lecture more clearly if delivered by:,I understand the lecture more clearly if the number of students in classroom are:,I understand the lecture more clearly if:,Lecture attendance has a positive effect on my academic performance.,TVFs often reschedule classes that negatively impacts my performance.,TVFs are very difficult to access after class timings and hence I am unable to clarify my concepts.,TVFs do not provide assessment results timely so I remain unaware of my standing in class.,TVFs are not aware of the university's curriculum and other requirements.,TVFs grade students according to their own beliefs and criteria and hence my GPA suffers.,TVFs are not very well prepared for the lectures due to their busy schedule.,TVFs have short-term relations with students and hence do not show sincere behavior to polish my academic skills. ,What is your residence place?,An ample amount of time is consumed on daily commuting and all energy is drained during travelling.,"Due to class/ lab cancellation or roads blockage, lots of time get wasted due to fixed official transport timings.",Hostelite can be more focused towards their studies whereas a day scholar may have a lot of distractions due to family issues.,"Hostelites have more opportunities to engage with their peers and participate in social events, that improve their performance.","Hostelites have better access to campus resources like libraries, instructors, labs and also get benefit of group study. ",Hostelites have a big social circle and connections with seniors who can guide them in studies and in other academic and administrative issues.,Un-announced quizzes are quite stressful and cause unnecessary anxiety and pressure on students.,Un-announced quizzes are a form of torture and have negative impact on learning environment.,I am not usually prepared for surprise quizzes and hence these are not true measures of my knowledge and understandings.,Un-announced quizzes are a waste of time and energy and are not effective and productive in the long term.,I cannot miss a single class despite my health or any other emergency situations due to unannounced quizzes as it badly effects my grade.,"I usually do not perform very well in surprise quizzes, hence lose my interest in the subject.","Due to overall academic workload, it is not possible to study/ practice each subject on daily basis, to prepare myself for unannounced quizzes.",Class Representative (CR) is favored more than any ordinary student as he/ she is in more contact with teachers.,"If a student is more active in class, then it is more likely that the teacher would be lenient during his/ her exam checking. ","Some teachers show more kindness towards female students, and it is clearly reflected in their grades. ",Preferential treatment with selective students creates a negative classroom environment and affects the learning experience. ,Discrimination distracts me from focusing on the course and I lose interest in attending the classes. ,"Discrimination negatively effects my mental condition, confidence, and overall engagement in the classroom. ",A proper classroom environment and discipline is not possible to maintain in online environment.,"Due to lack of technical expertise, senior instructors struggle a lot in online lectures, and I lose my interest.",It is difficult to convey complex concepts in online mode and hence quality of education suffers.,"It becomes a hobby to watch recorded lectures later on, so I try to cover a lot of content in a short time that becomes difficult to absorb.",I am easily distracted by social media and other sources of interruptions during online lectures.,"It reduces social interaction that results in a feeling of isolation, and I lose interest in studies.","It is easier for students to cheat in online exams, leading to academic dishonesty and hence I lose my motivation.",Lack of technical resources create disruptions during lectures and make it difficult to understand. ,I prefer to revise the lectures daily or before the next class of the same subject.,I frequently make use of You tube or Chat GPT for understanding of different concepts.,I enjoy and perform well in non-technical (Humanities/ Management/ Social Science) courses.,I am usually well prepared for exams but unable to attempt properly due to exam stress.,Instructors often miss lectures and arrange makeup classes that further increases my burden.,My classes schedule is usually very tight that hinders the process of learning.,I often come across health issues that effect my academic performance.,My preferable mode of study is:,My preferable time of study is:,My overall mobile usage (daily) for non-academic purpose is limited to:,
1296,Mechanical Engineering,Female,Pakistani,Punjab,8th,MS,BS,Between 50K~1Lac,NO,YES,3,Matric,FSc/ ICS,96.01,90.09,3.25,3.3,2.69,C,3.08,B,English,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,3,5,3,4,4,3,4,1,5,5,5,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,3,Independent study,Late night,1~2 hours,
1297,Mechanical Engineering,Male,Pakistani,Punjab,8th,Intermediate,MS,Above 3Lac,YES,NO,4,Matric,FSc/ ICS,92,86,3.2,2.8,2.5,C,2.83,C,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,5,5,5,2,4,5,3,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,Group study,Late night,3~4 hours,
1298,Mechanical Engineering,Male,Pakistani,KPK,8th,MS,MS,Between 1Lac~2Lac,NO,YES,4,Matric,FSc/ ICS,90,85,3.85,3.87,3.8,A,3.84,A,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,Notes taking has no relation with my academic performance,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Independent study,Day time,5~6 hours,
1299,Mechanical Engineering,Male,Pakistani,Punjab,8th,Matric,Below Matric,Between 30K~50K,YES,NO,4,Matric,FSc/ ICS,94.45,85,2.71,2.41,1.7,E,2.28,D,Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,4,4,2,2,3,3,4,2,2,2,2,2,3,4,2,2,4,4,4,4,2,5,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,Independent study,Day time,3~4 hours,
1300,Mechanical Engineering,Male,Pakistani,Punjab,8th,BS,BS,Between 30K~50K,YES,YES,1,Matric,FSc/ ICS,88.54,87.56,2.93,2.67,2.5,C,2.70,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,3,3,3,3,3,3,3,3,2,4,3,4,3,4,4,3,3,4,4,4,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Group study,Late night,3~4 hours,
1301,Mechanical Engineering,Male,Pakistani,Punjab,8th,BS,Matric,Between 1Lac~2Lac,YES,NO,4,Matric,FSc/ ICS,96,85,3.27,2.85,3.17,B,3.09,B,Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 40,Notes taking has no relation with my academic performance,4,2,3,3,3,3,3,3,2,2,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,4,3,5,2,Independent study,Day time,5~6 hours,
1302,Mechanical Engineering,Male,Pakistani,Punjab,8th,MS,Intermediate,Between 1Lac~2Lac,NO,YES,4,Matric,FSc/ ICS,91.9,87.09,3.31,3.1,3.06,B,3.16,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,2,4,4,2,2,2,2,2,1,3,3,4,4,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,4,4,4,3,4,3,4,3,4,5,3,4,4,3,3,Independent study,Late night,5~6 hours,
1303,Material Science Engineering,Female,Pakistani,Federal/ Capital,8th,BS,MS,Between 2Lac~3Lac,NO,NO,2,Matric,FSc/ ICS,89.88,79.2,3.26,2.88,2.76,C,2.96,C,Language does not effect my performance,Mode of lecture delivery does not effect my performance,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,2,2,2,2,2,2,2,1,5,5,4,5,5,5,4,3,3,2,4,3,4,1,2,1,5,4,4,5,3,3,3,3,3,5,4,3,4,4,4,3,4,5,Group study,Day time,1~2 hours,
1304,Mechanical Engineering,Male,Pakistani,Punjab,8th,Matric,BS,Between 50K~1Lac,NO,YES,5,Matric,FSc/ ICS,92.18,80.18,3.73,3.84,3.83,A,3.80,A,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,3,3,3,4,2,4,2,3,2,3,4,4,4,4,4,4,4,4,4,4,3,4,2,3,3,4,3,Group study,Late night,5~6 hours,
1305,Mechanical Engineering,Male,Pakistani,Punjab,8th,Intermediate,Intermediate,Below 30K,NO,YES,5,Matric,FSc/ ICS,92.81,85,3.55,3.02,2.93,C,3.16,B,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,3,3,3,3,3,3,3,3,1,4,4,5,5,4,4,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,4,4,3,3,3,3,4,Independent study,Day time,1~2 hours,
1306,Mechanical Engineering,Male,Pakistani,KPK,8th,Matric,Below Matric,Between 1Lac~2Lac,NO,NO,5,Matric,FSc/ ICS,86.78,89.86,2.96,2.2,2.52,C,2.55,C,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,4,3,3,3,3,3,2,4,2,2,4,4,4,4,3,3,4,4,3,4,4,4,3,3,4,3,3,3,3,2,3,4,5,4,5,5,3,4,4,4,3,4,3,Independent study,Day time,3~4 hours,
1307,Mechanical Engineering,Male,Pakistani,KPK,8th,BS,Below Matric,Between 50K~1Lac,NO,NO,5,Matric,FSc/ ICS,89.9,85.81,3.16,2.69,2.5,C,2.78,C,Mix of both English and Urdu,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,5,4,4,4,4,3,4,4,1,4,3,4,3,4,4,4,4,4,5,5,5,5,4,5,5,3,4,4,5,5,5,5,5,5,3,4,4,4,4,4,4,4,5,Group study,Late night,3~4 hours,
1308,Mechanical Engineering,Male,Pakistani,Federal/ Capital,8th,Intermediate,Intermediate,Between 1Lac~2Lac,YES,NO,5,Matric,FSc/ ICS,89.23,84.73,3.49,2.24,1.9,E,2.54,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,2,2,2,2,2,2,2,1,5,5,4,5,5,5,4,4,3,3,4,4,4,4,5,5,5,4,4,2,3,5,5,2,3,2,2,3,5,5,5,4,4,2,Group study,Late night,1~2 hours,
1309,Electrical Engineering,Male,Pakistani,Punjab,8th,MS,BS,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,95,85,3.48,2.7,2,D,2.73,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Independent study,Day time,3~4 hours,
1310,Mechanical Engineering,Male,Pakistani,Punjab,8th,BS,Intermediate,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,92,86,3.27,2.86,3.21,B,3.11,B,English,Mix of both whiteboard and power point,Last row,1 hour,Female instructor,Not more than 30,Only understand the concepts without noting them down,1,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,2,Group study,Late night,1~2 hours,
1311,Mechanical Engineering,Male,Pakistani,Punjab,8th,BS,MS,Between 1Lac~2Lac,NO,NO,4,Matric,FSc/ ICS,96,89,3.32,3.07,3.61,A,3.33,B,Language does not effect my performance,Mode of lecture delivery does not effect my performance,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,3,3,2,2,4,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,Independent study,Day time,1~2 hours,
1312,Mechanical Engineering,Male,Pakistani,Punjab,8th,Matric,BS,Between 1Lac~2Lac,NO,NO,3,Matric,FSc/ ICS,95,89,3.65,3.42,3.5,A,3.52,A,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,3,3,3,3,2,2,2,2,2,3,3,3,3,2,5,5,1,5,5,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,Independent study,Late night,More than 8 hours,
1313,Mechanical Engineering,Female,Pakistani,Federal/ Capital,8th,MS,MS,Between 2Lac~3Lac,NO,NO,4,Matric,FSc/ ICS,90,85,3.1,3.4,3.3,B,3.27,B,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,5,4,2,3,3,3,3,3,1,4,4,2,4,4,4,2,2,3,4,4,4,4,3,5,3,4,2,3,5,5,5,5,5,4,4,4,4,5,2,4,5,5,4,Group study,Day time,5~6 hours,
1314,Mechanical Engineering,Male,Pakistani,Punjab,8th,BS,Matric,Between 2Lac~3Lac,NO,NO,3,Matric,FSc/ ICS,89.72,89,3.2,1.9,2.3,D,2.45,D,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Male instructor,Not more than 40,Notes taking has no relation with my academic performance,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Independent study,Day time,3~4 hours,
1315,Mechanical Engineering,Male,Pakistani,Punjab,8th,Intermediate,Intermediate,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,89,91,2.85,3,3.04,B,2.96,C,Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 40,Only understand the concepts without noting them down,4,2,2,2,2,2,2,2,2,2,4,3,4,4,4,4,4,4,4,3,4,4,2,3,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,3,2,4,4,Group study,Day time,3~4 hours,
1316,Mechanical Engineering,Male,Pakistani,Federal/ Capital,8th,Intermediate,BS,Between 2Lac~3Lac,NO,NO,3,Matric,FSc/ ICS,87.7,87,3.16,2.3,2.5,C,2.65,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Male instructor,Not more than 30,I take notes during lecture,4,3,3,3,3,3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Group study,Late night,5~6 hours,
1317,Mechanical Engineering,Male,Pakistani,Punjab,8th,Intermediate,Matric,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,93.5,89.5,3.31,2.98,3,B,3.09,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,4,5,4,4,4,3,4,4,2,4,3,4,4,3,4,5,5,5,5,4,5,5,5,5,4,4,3,4,5,5,5,5,5,5,5,5,4,2,5,3,5,4,3,Independent study,Late night,3~4 hours,
1318,Mechanical Engineering,Female,Pakistani,Punjab,8th,Intermediate,BS,Between 50K~1Lac,NO,YES,3,Matric,FSc/ ICS,92,84,3.15,3.2,3.3,B,3.22,B,Mix of both English and Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,3,3,2,2,3,2,2,1,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,4,5,5,5,5,5,3,5,5,5,5,3,5,2,3,5,3,3,Independent study,Day time,3~4 hours,
1319,Mechanical Engineering,Male,Pakistani,Punjab,8th,Below Matric,Below Matric,Between 30K~50K,NO,YES,4,Matric,FSc/ ICS,93,86,3.54,3.61,3.8,A,3.65,A,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,4,3,3,3,3,3,3,3,2,4,2,2,4,4,4,4,3,2,2,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,3,5,2,4,1,2,3,3,3,Independent study,Late night,7~8 hours,
1320,Mechanical Engineering,Male,Pakistani,Punjab,8th,BS,Matric,Between 30K~50K,NO,YES,1,Matric,FSc/ ICS,93,92,3.08,2.18,2.25,D,2.50,D,Urdu,Power point,Middle row,1 hour,Female instructor,Number of students does not effect my performance,Notes taking has no relation with my academic performance,1,4,3,4,4,4,5,3,2,4,3,5,2,3,3,3,3,5,5,5,5,5,5,5,5,5,4,2,3,4,3,3,3,4,4,3,4,4,4,4,4,3,3,Independent study,Day time,1~2 hours,
1321,Mechanical Engineering,Female,Pakistani,Punjab,8th,PhD/ Doctor,MS,Above 3Lac,YES,NO,3,Matric,FSc/ ICS,94.4,86.7,3.04,3.18,3.15,B,3.12,B,Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,2,3,3,4,2,2,4,1,3,5,5,5,5,5,4,4,5,5,3,5,4,3,3,2,4,4,3,4,4,5,4,5,5,4,4,2,4,4,3,4,3,4,Group study,Day time,3~4 hours,
1322,Mechanical Engineering,Male,Pakistani,Punjab,8th,BS,Below Matric,Between 1Lac~2Lac,NO,NO,4,Matric,FSc/ ICS,92.27,85.63,3.27,2.69,2.82,C,2.92,C,Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,4,1,1,1,3,1,1,1,2,2,3,4,4,4,4,4,4,2,2,2,4,4,2,4,2,4,4,2,4,5,4,4,4,2,5,4,4,5,3,2,2,2,3,Group study,Late night,5~6 hours,
1323,Electrical Engineering,Male,Pakistani,Federal/ Capital,8th,BS,Below Matric,Between 1Lac~2Lac,YES,NO,3,Matric,FSc/ ICS,88.57,77,2.25,1.9,1.8,E,1.98,E,Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,4,4,3,4,4,2,3,1,5,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,3,4,4,3,3,5,3,4,4,3,5,4,4,4,Group study,Day time,3~4 hours,
1324,Electrical Engineering,Male,Pakistani,KPK,6th,PhD/ Doctor,MS,Above 3Lac,YES,NO,4,Matric,FSc/ ICS,88,79,2.3,2.3,1.8,E,2.14,D,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,3,2,5,3,3,3,2,2,2,2,2,4,3,4,5,4,4,4,2,3,4,3,3,4,4,4,3,4,3,4,4,3,3,4,4,3,4,3,3,3,3,2,Group study,Day time,3~4 hours,
1325,Electrical Engineering,Female,Pakistani,Sindh,6th,MS,MS,Above 3Lac,NO,NO,2,Cambridge,A-Level,90,85,2.76,3.12,3.09,B,2.99,C,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,2,2,3,2,5,4,4,1,2,4,3,4,3,5,5,5,5,5,5,5,5,5,3,2,2,2,1,2,2,2,4,2,2,2,2,2,5,5,3,2,4,4,Independent study,Late night,7~8 hours,
1326,Electrical Engineering,Male,Pakistani,Sindh,6th,MS,MS,Between 50K~1Lac,NO,NO,4,Cambridge,A-Level,69.04,65.76,2.2,2.6,1.89,E,2.24,D,Mix of both English and Urdu,Mode of lecture delivery does not effect my performance,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,3,3,2,4,3,2,4,2,2,2,2,4,2,4,4,4,4,4,3,4,4,3,4,4,4,4,4,5,5,5,4,4,4,4,4,2,4,5,3,2,4,2,Group study,Late night,7~8 hours,
1327,Electrical Engineering,Male,Pakistani,Punjab,6th,Intermediate,BS,Between 1Lac~2Lac,YES,NO,4,Matric,FSc/ ICS,89,82,2.5,2.6,2.5,C,2.53,C,Mix of both English and Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 50,I take notes during lecture,4,2,3,4,4,4,2,3,1,5,4,5,5,4,5,5,5,5,5,5,5,4,4,4,5,4,3,4,4,2,4,3,4,4,4,4,4,5,4,5,4,5,2,Independent study,Late night,3~4 hours,
1328,Electrical Engineering,Female,Pakistani,Federal/ Capital,6th,MS,BS,Between 2Lac~3Lac,YES,NO,3,Matric,FSc/ ICS,87,97,3.46,3.59,3.59,A,3.55,A,Mix of both English and Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,2,4,2,2,3,2,3,1,4,5,5,5,3,5,5,5,5,5,5,5,5,3,3,3,5,3,4,5,3,5,5,5,4,4,4,2,5,4,3,3,3,2,Independent study,Day time,3~4 hours,
1329,Electrical Engineering,Female,Pakistani,Punjab,6th,BS,BS,Below 30K,NO,YES,4,Matric,FSc/ ICS,85,75,2,3.04,2.98,C,2.68,C,Mix of both English and Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,5,3,4,2,2,2,4,2,1,4,4,2,2,2,4,5,2,4,4,4,4,4,2,2,3,4,2,2,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,Independent study,Day time,1~2 hours,
1330,Electrical Engineering,Male,Pakistani,Federal/ Capital,6th,Intermediate,Intermediate,Below 30K,YES,NO,2,Cambridge,FSc/ ICS,88,89,2.71,3.01,1.7,E,2.49,D,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,2,5,5,4,4,3,3,4,1,4,4,4,4,4,4,5,5,5,5,4,3,5,4,4,5,4,4,4,5,3,4,4,5,4,5,4,2,4,4,4,5,3,2,Group study,Late night,5~6 hours,
1331,Electrical Engineering,Female,Pakistani,Sindh,6th,BS,Intermediate,Between 2Lac~3Lac,YES,YES,4,Matric,FSc/ ICS,89,89,3.88,3.84,4,A,3.91,A,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,4,4,3,3,2,2,4,2,2,3,1,2,3,4,4,3,4,2,4,2,5,4,1,4,5,4,4,4,2,4,4,3,3,5,3,4,4,4,4,2,4,5,Independent study,Late night,3~4 hours,
1332,Electrical Engineering,Female,Pakistani,Sindh,6th,BS,BS,Between 1Lac~2Lac,NO,YES,5,Matric,FSc/ ICS,90,87,3.77,3.83,3.94,A,3.85,A,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,2,4,3,4,2,2,2,2,2,4,1,2,4,4,5,5,5,5,5,4,5,5,4,4,4,4,5,5,5,4,5,5,5,5,4,2,5,4,2,2,3,5,Independent study,Day time,More than 8 hours,
1333,Electrical Engineering,Male,Pakistani,Punjab,6th,Matric,BS,Between 30K~50K,NO,NO,4,Matric,FSc/ ICS,93.72,94.81,3.46,3.31,2.72,C,3.17,B,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Female instructor,Not more than 30,I take notes during lecture,3,2,5,3,3,3,2,4,1,5,4,2,4,4,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2,5,4,5,5,4,2,Independent study,Late night,5~6 hours,
1334,Electrical Engineering,Male,Pakistani,Punjab,6th,Below Matric,Below Matric,Between 50K~1Lac,YES,NO,4,Matric,FSc/ ICS,73,67.22,2.43,2.41,1.31,E,2.06,D,Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,4,4,3,3,4,2,4,2,3,2,2,2,2,4,4,4,4,4,4,4,4,2,2,3,4,3,4,5,3,5,5,3,5,5,5,3,4,4,5,5,5,5,Independent study,Late night,3~4 hours,
1335,Electrical Engineering,Male,Pakistani,Punjab,6th,MS,MS,Between 30K~50K,YES,NO,4,Matric,FSc/ ICS,91.09,84.27,3.2,3.67,3.29,B,3.39,B,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,2,3,4,4,3,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,3,4,3,4,3,4,3,4,3,Independent study,Day time,1~2 hours,
1336,Electrical Engineering,Male,Pakistani,Punjab,6th,BS,BS,Below 30K,NO,NO,1,Matric,FSc/ ICS,85,81,3.02,2.61,2.44,D,2.69,C,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,3,3,4,4,4,5,4,3,2,3,2,2,2,3,2,5,5,5,3,4,4,5,3,5,5,5,5,4,1,3,4,5,4,4,5,5,2,5,5,5,5,5,5,Independent study,Late night,3~4 hours,
1337,Electrical Engineering,Male,Pakistani,Punjab,6th,BS,MS,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,88,89,2.46,2.54,2.58,C,2.53,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,1,3,3,2,4,2,2,5,2,5,4,3,4,1,1,4,4,4,4,5,5,3,2,3,4,3,4,5,5,4,4,5,5,4,4,3,2,5,3,4,5,3,3,Group study,Day time,7~8 hours,
1338,Electrical Engineering,Male,Pakistani,KPK,6th,Intermediate,Matric,Between 50K~1Lac,YES,NO,4,Matric,FSc/ ICS,94,85,2.78,2.75,2.41,D,2.65,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,4,3,4,4,4,2,4,1,5,5,3,5,4,5,1,1,2,1,2,1,5,1,5,5,4,4,3,4,5,4,2,4,4,4,4,3,4,3,4,4,5,4,Group study,Late night,3~4 hours,
1339,Electrical Engineering,Male,Pakistani,Punjab,6th,Intermediate,BS,Between 1Lac~2Lac,NO,NO,1,Matric,FSc/ ICS,93,68,2.2,2.2,1.9,E,2.10,D,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,4,3,2,2,3,4,3,2,4,4,1,1,1,1,4,4,4,4,5,4,4,3,5,5,5,3,4,1,1,1,4,4,3,3,3,2,5,2,3,4,4,4,Independent study,Late night,1~2 hours,
1340,Electrical Engineering,Male,Pakistani,Sindh,6th,MS,Intermediate,Above 3Lac,NO,NO,3,Matric,FSc/ ICS,80,66,2.9,2.9,2.4,D,2.74,C,Language does not effect my performance,Whiteboard,Middle row,1 hour,Male instructor,Number of students does not effect my performance,I take notes during lecture,3,4,3,2,2,2,2,2,2,1,1,1,3,3,4,5,5,4,5,4,5,5,3,2,3,4,2,3,3,4,4,5,2,4,5,4,3,4,2,2,4,4,2,Independent study,Day time,3~4 hours,
1341,Electrical Engineering,Male,Pakistani,KPK,6th,PhD/ Doctor,BS,Above 3Lac,YES,NO,3,Matric,FSc/ ICS,87.45,71.45,2.3,2.2,1.8,E,2.10,D,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,5,2,2,2,2,3,3,3,1,2,2,2,2,2,4,5,5,5,5,4,5,5,1,5,5,4,3,4,2,4,2,4,2,4,2,2,3,2,3,4,4,4,2,Independent study,Day time,3~4 hours,
